Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2021-12-08,"The Nose",5.11a,,https://www.mountainproject.com/route/105793054/the-nose,1,"California > Central Coast > Santa Barbara > Gibraltar Area > Gibraltar Rock",3.3,3,Lead,Fell/Hung,"Trad, TR",,100,4600
2021-12-04,"Face Down In The Muck",5.9,,https://www.mountainproject.com/route/105800750/face-down-in-the-muck,1,"California > Central Coast > Santa Barbara > The Playground > Little Lebowski Urban Achievers Crag",2.2,2,Lead,Flash,"Sport, TR",,40,2400
2021-12-04,"Nice Marmot",5.9,,https://www.mountainproject.com/route/105801113/nice-marmot,1,"California > Central Coast > Santa Barbara > The Playground > Little Lebowski Urban Achievers Crag",2.3,-1,Lead,Flash,"Sport, TR",,50,2400
2021-12-04,Gutterballs,5.8,,https://www.mountainproject.com/route/105800916/gutterballs,1,"California > Central Coast > Santa Barbara > The Playground > Little Lebowski Urban Achievers Crag",2.1,-1,Lead,Flash,"Sport, TR",,50,2100
2021-12-04,"Careful, There's A Beverage Here!",5.10a,,https://www.mountainproject.com/route/105800758/careful-theres-a-beverage-here,1,"California > Central Coast > Santa Barbara > The Playground > Little Lebowski Urban Achievers Crag",2.2,-1,Lead,Flash,Sport,,50,2600
2021-12-04,"The Jesus",5.10c,,https://www.mountainproject.com/route/105800199/the-jesus,1,"California > Central Coast > Santa Barbara > The Playground > Little Lebowski Urban Achievers Crag",3.0,-1,Lead,Flash,"Sport, TR",,50,3200
2021-12-04,"Jackie Treehorn",5.10d,,https://www.mountainproject.com/route/106732206/jackie-treehorn,1,"California > Central Coast > Santa Barbara > The Playground > Little Lebowski Urban Achievers Crag",1.8,1,Lead,Onsight,Sport,,40,3500
2021-12-04,"The Chinaman",5.11b,,https://www.mountainproject.com/route/107259500/the-chinaman,1,"California > Central Coast > Santa Barbara > The Playground > Little Lebowski Urban Achievers Crag",2.8,2,Lead,Fell/Hung,"Sport, TR",5.11c,45,4900
2021-12-04,Logjammin,5.11b,,https://www.mountainproject.com/route/105948624/logjammin,1,"California > Central Coast > Santa Barbara > The Playground > Little Lebowski Urban Achievers Crag",2.1,2,Lead,Redpoint,"Sport, TR",,50,4900
2021-11-26,"Movin' Out",5.11c,,https://www.mountainproject.com/route/105925418/movin-out,1,"California > Central Coast > Santa Barbara > Fire Crags",1.7,2,Lead,Redpoint,Sport,,40,5200
2021-11-14,"Gala Tumble",5.10d,,https://www.mountainproject.com/route/105985578/gala-tumble,1,"California > Sierra Eastside > Bishop Area > Pine Creek Canyon > Scheelite Canyon / Pratt's Crack Gully > Mustache Wall",3.3,-1,Lead,Onsight,Sport,,35,3500
2021-11-14,"Mr. Ridiculous",5.11b,,https://www.mountainproject.com/route/106831653/mr-ridiculous,1,"California > Sierra Eastside > Bishop Area > Pine Creek Canyon > Scheelite Canyon / Pratt's Crack Gully > Mustache Wall",3.0,3,Lead,Onsight,Sport,,165,4900
2021-11-13,"Uncontrollable Urge",5.10a,,https://www.mountainproject.com/route/116128628/uncontrollable-urge,1,"California > Sierra Eastside > Bishop Area > Owens River Gorge > Lower Gorge > Diamond Face",1.7,-1,Lead,Onsight,Sport,,90,2600
2021-11-13,"Rock The Spot",5.10b,,https://www.mountainproject.com/route/116200418/rock-the-spot,1,"California > Sierra Eastside > Bishop Area > Owens River Gorge > Lower Gorge > Diamond Face",2.9,-1,Lead,Onsight,Sport,,80,2900
2021-11-12,"The Hulk",V6,,https://www.mountainproject.com/route/105988462/the-hulk,1,"California > Sierra Eastside > Bishop Area > Volcanic Tablelands (Happy/Sad Boulders) > Happy Boulders > Central Happiness Area > Happy Boulder",3.7,4,Send,,Boulder,,15,20600
2021-10-17,"Crash and Burn",5.12d,,https://www.mountainproject.com/route/106620240/crash-and-burn,1,"California > Los Angeles Basin > Santa Monica Mountains > Echo Cliffs > Kamikaze Cave",3.6,4,Lead,Fell/Hung,Sport,,50,7500
2021-10-17,Espresso,5.11a,,https://www.mountainproject.com/route/105832745/espresso,1,"California > Los Angeles Basin > Santa Monica Mountains > Echo Cliffs > Java Wall",3.2,-1,Lead,Onsight,Sport,,90,4600
2021-10-09,"Central Services",5.11-,,https://www.mountainproject.com/route/115384668/central-services,1,"California > Central Coast > Santa Barbara > Invisible Wall > Central Services Face",3.4,-1,Lead,Flash,Sport,,,4700
2021-10-02,"The Butthole",V3,,https://www.mountainproject.com/route/109005069/the-butthole,1,"California > Central Coast > Santa Barbara > * Santa Barbara Bouldering > The Lizard's Mouth > The Mouth",3.0,-1,Send,,Boulder,,14,20300
2021-09-25,"Black Tide",5.9,,https://www.mountainproject.com/route/106568930/black-tide,1,"California > Los Angeles Basin > Santa Monica Mountains > Echo Cliffs > Left Flank",2.4,-1,Lead,Onsight,Sport,,90,2400
2021-09-25,Caffeine,5.11b,,https://www.mountainproject.com/route/105838362/caffeine,1,"California > Los Angeles Basin > Santa Monica Mountains > Echo Cliffs > Java Wall",3.3,-1,Lead,Onsight,Sport,,100,4900
2021-09-25,Geezer,5.12a,,https://www.mountainproject.com/route/106627433/geezer,1,"California > Los Angeles Basin > Santa Monica Mountains > Echo Cliffs > The Alcove",3.0,-1,Lead,Redpoint,Sport,,90,6600
2021-09-19,Blackjack,5.10c,,https://www.mountainproject.com/route/105838323/blackjack,1,"California > Los Angeles Basin > Santa Monica Mountains > Echo Cliffs > Easy Street",2.7,2,Lead,Onsight,Sport,,300,3200
2021-09-19,"Casey at the Bat",5.10b,,https://www.mountainproject.com/route/105838333/casey-at-the-bat,1,"California > Los Angeles Basin > Santa Monica Mountains > Echo Cliffs > Easy Street",3.0,3,Lead,Onsight,Sport,,100,2900
2021-09-16,"High Pitched",5.12-,"Made it to the top of pitch five before the sun started going down. All onsight except one hang on crux pitch. ",https://www.mountainproject.com/route/117704075/high-pitched,5,"Nevada > Southern Nevada > Mount Charleston > Kyle Canyon > Echo Cliffs > North Echo Cliff > Big Echo",3.4,4,Lead,Fell/Hung,Sport,,550,6700
2021-09-16,"Couldn't be Schmooter",5.9-,,https://www.mountainproject.com/route/105934930/couldnt-be-schmooter,1,"Nevada > Southern Nevada > Red Rocks > 01-Calico Basin > Kraft Mountain Area > Winter Heat Wall",3.2,-1,Lead,Onsight,Trad,,80,2300
2021-09-14,"Quieter Days",5.10a,,https://www.mountainproject.com/route/114616223/quieter-days,1,"Nevada > Southern Nevada > Mount Charleston > Kyle Canyon > Echo Cliffs > North Echo Cliff > Sonar Wall",2.7,-1,Lead,Flash,Sport,,65,2600
2021-09-14,Audiophile,5.12a,,https://www.mountainproject.com/route/113627043/audiophile,1,"Nevada > Southern Nevada > Mount Charleston > Kyle Canyon > Echo Cliffs > North Echo Cliff > Sonar Wall",3.5,-1,TR,,Sport,,70,6600
2021-09-13,"Idiot Parade (aka Need to Rest)",5.10c,,https://www.mountainproject.com/route/105826602/idiot-parade-aka-need-to-rest,1,"Nevada > Southern Nevada > Red Rocks > 04-Second Pullout (Calico II) > The Black Corridor > Lower Level > Lower Level - Right",2.9,-1,Lead,Onsight,Sport,,50,3200
2021-09-13,Friend,5.10d,,https://www.mountainproject.com/route/106076229/friend,1,"Nevada > Southern Nevada > Red Rocks > 04-Second Pullout (Calico II) > The Black Corridor > Lower Level > Lower Level - Right",2.8,-1,Lead,Onsight,Sport,,40,3500
2021-09-13,Bonaire,5.9,,https://www.mountainproject.com/route/105732515/bonaire,1,"Nevada > Southern Nevada > Red Rocks > 04-Second Pullout (Calico II) > The Black Corridor > Lower Level > Lower Level - Left",2.3,-1,Lead,Flash,Sport,,80,2400
2021-09-13,"Unknown 5.11a (AKA Black Corridor Route  4)",5.11a,,https://www.mountainproject.com/route/105799989/unknown-511a-aka-black-corridor-route-4,1,"Nevada > Southern Nevada > Red Rocks > 04-Second Pullout (Calico II) > The Black Corridor > Lower Level > Lower Level - Left",2.6,-1,Lead,Redpoint,Sport,,,4600
2021-08-15,"Danger Boy",5.11a,,https://www.mountainproject.com/route/105799262/danger-boy,1,"California > Central Coast > Hwy 33/Ojai > Wheeler Gorge",2.8,-1,Lead,Onsight,Sport,,70,4600
2021-08-15,"Stuart's Rig (aka Stu Boy)",5.11a,,https://www.mountainproject.com/route/105799270/stuarts-rig-aka-stu-boy,1,"California > Central Coast > Hwy 33/Ojai > Wheeler Gorge",2.7,-1,Lead,Onsight,Sport,,75,4600
2021-07-04,"The Daddy",5.6,,https://www.mountainproject.com/route/105883690/the-daddy,5,"North Carolina > 2. Northern Mountains Region > Linville Gorge > Amphitheater",3.6,-1,Lead,Onsight,Trad,,500,1600
2021-07-04,"The Mummy",5.5,,https://www.mountainproject.com/route/105905544/the-mummy,3,"North Carolina > 2. Northern Mountains Region > Linville Gorge > Amphitheater",3.5,-1,Lead,Onsight,Trad,,350,1500
2021-05-16,"The Seal",5.10a/b,,https://www.mountainproject.com/route/105934845/the-seal,1,"North Carolina > 1. Southern Mountains Region > Looking Glass Rock > North Side",3.4,-1,Lead,Onsight,Trad,,400,2800
2021-05-16,"Creatures of Waste","5.10c A3",,https://www.mountainproject.com/route/106831306/creatures-of-waste,1,"North Carolina > 1. Southern Mountains Region > Looking Glass Rock > North Side",3.6,-1,Lead,Onsight,"Trad, Aid",,300,3200
2021-03-01,"I Abuse Profen",5.12b,,https://www.mountainproject.com/route/107320029/i-abuse-profen,1,"North Carolina > 1. Southern Mountains Region > Rumbling Bald > The Cave",2.6,-1,Lead,Fell/Hung,Sport,,45,6900
2021-02-27,"Frosted Flake",5.9+,,https://www.mountainproject.com/route/105899306/frosted-flake,1,"North Carolina > 1. Southern Mountains Region > Rumbling Bald > Cereal Buttress",3.6,4,Lead,Redpoint,Trad,5.9+,80,2500
2021-02-20,Zydygo,5.10c,,https://www.mountainproject.com/route/105947730/zydygo,1,"North Carolina > 1. Southern Mountains Region > Rumbling Bald > Screamweaver Area",3.0,3,Lead,Onsight,Trad,5.10d,90,3200
2021-02-19,"Drivin' and Cryin'",5.10a,,https://www.mountainproject.com/route/105937411/drivin-and-cryin,1,"North Carolina > 1. Southern Mountains Region > Rumbling Bald > Flakeview Area",2.6,3,Lead,Onsight,Sport,5.10b,110,2600
2021-02-18,Conception,5.8,,https://www.mountainproject.com/route/108032861/conception,2,"North Carolina > 1. Southern Mountains Region > Rumbling Bald > Comatose Area",2.7,-1,Lead,Flash,"Trad, Sport",,210,2100
2021-02-18,"Rusty Redneck",5.10c,,https://www.mountainproject.com/route/105937310/rusty-redneck,1,"North Carolina > 1. Southern Mountains Region > Rumbling Bald > Comatose Area",3.1,-1,Lead,Flash,"Trad, Sport",,100,3200
2021-02-06,"Cave Crack",5.7,,https://www.mountainproject.com/route/109881907/cave-crack,1,"North Carolina > 1. Southern Mountains Region > Rumbling Bald > The Cave",2.5,-1,Lead,Flash,"Trad, TR",,80,1800
2021-02-06,"Black Planet",5.12a,,https://www.mountainproject.com/route/106350327/black-planet,1,"North Carolina > 1. Southern Mountains Region > Rumbling Bald > Screamweaver Area",3.3,-1,Lead,Fell/Hung,Trad,,70,6600
2021-01-29,"Southern Boys Don't Wear Plaid",5.11b,,https://www.mountainproject.com/route/106350315/southern-boys-dont-wear-plaid,1,"North Carolina > 1. Southern Mountains Region > Rumbling Bald > Screamweaver Area",3.1,-1,Lead,Redpoint,Trad,,80,4900
2021-01-19,Buccaneer,5.11c,One-hung,https://www.mountainproject.com/route/107204398/buccaneer,1,"Kentucky > Red River Gorge > Muir Valley > The Great Wall",2.5,3,Lead,Fell/Hung,Sport,5.11b/c,70,5200
2021-01-17,"Razor Worm",5.8+,,https://www.mountainproject.com/route/105888820/razor-worm,1,"Tennessee > The Tennessee Wall > T-Wall East",3.1,-1,Lead,Onsight,Trad,,100,2200
2021-01-17,"Cake Walk",5.10a,,https://www.mountainproject.com/route/105889130/cake-walk,1,"Tennessee > The Tennessee Wall > T-Wall East",3.7,-1,Lead,Onsight,Trad,,100,2600
2021-01-16,Sanscrit,5.8,,https://www.mountainproject.com/route/105889140/sanscrit,1,"Tennessee > The Tennessee Wall > T-Wall East",2.8,-1,Lead,Onsight,Trad,,100,2100
2021-01-16,"Prerequisite for Excellence",5.8,,https://www.mountainproject.com/route/105888371/prerequisite-for-excellence,1,"Tennessee > The Tennessee Wall > T-Wall East",3.4,-1,Lead,Onsight,Trad,,80,2100
2021-01-15,Passages,5.8,,https://www.mountainproject.com/route/105894863/passages,1,"Tennessee > The Tennessee Wall > T-Wall East",3.5,-1,Lead,Onsight,Trad,,90,2100
2021-01-10,Comatose,5.8,,https://www.mountainproject.com/route/105937288/comatose,1,"North Carolina > 1. Southern Mountains Region > Rumbling Bald > Comatose Area",3.4,4,Lead,Flash,Trad,,100,2100
2021-01-10,"Rusty Redneck",5.10c,,https://www.mountainproject.com/route/105937310/rusty-redneck,1,"North Carolina > 1. Southern Mountains Region > Rumbling Bald > Comatose Area",3.1,-1,TR,,"Trad, Sport",,100,3200
2021-01-10,"Southern Boys Don't Wear Plaid",5.11b,,https://www.mountainproject.com/route/106350315/southern-boys-dont-wear-plaid,1,"North Carolina > 1. Southern Mountains Region > Rumbling Bald > Screamweaver Area",3.1,-1,Lead,Pinkpoint,Trad,,80,4900
2021-01-10,"Seven Year Itch",5.11a,,https://www.mountainproject.com/route/106918924/seven-year-itch,1,"North Carolina > 1. Southern Mountains Region > Rumbling Bald > Flakeview Area",3.1,-1,Lead,Onsight,Sport,,120,4600
2021-01-08,"Frosted Flake",5.9+,,https://www.mountainproject.com/route/105899306/frosted-flake,1,"North Carolina > 1. Southern Mountains Region > Rumbling Bald > Cereal Buttress",3.6,4,Lead,Pinkpoint,Trad,5.9+,80,2500
2021-01-08,"Shredded Wheat",5.11a,,https://www.mountainproject.com/route/105923509/shredded-wheat,1,"North Carolina > 1. Southern Mountains Region > Rumbling Bald > Cereal Buttress",3.8,-1,Lead,Pinkpoint,Trad,,90,4600
2020-11-28,Murano,5.10c,,https://www.mountainproject.com/route/106125082/murano,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Gallery",2.7,-1,Lead,Onsight,Sport,,75,3200
2020-11-28,"Dynabolt Gold",5.10a,,https://www.mountainproject.com/route/106422472/dynabolt-gold,1,"Kentucky > Red River Gorge > Muir Valley > The Great Wall",3.1,-1,Lead,Onsight,Sport,,70,2600
2020-11-28,"The Preacher's Daughter",5.11a/b,,https://www.mountainproject.com/route/107879859/the-preachers-daughter,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Gallery",3.5,4,Lead,Onsight,Sport,,70,4800
2020-11-27,"Touch of Grey",5.10d,,https://www.mountainproject.com/route/106451192/touch-of-grey,1,"Kentucky > Red River Gorge > Muir Valley > The Great Wall",2.6,-1,Lead,Onsight,Sport,,65,3500
2020-04-18,"Step Ladder",V4-,,https://www.mountainproject.com/route/108679974/step-ladder,1,"North Carolina > 1. Southern Mountains Region > Rumbling Bald > Rumbling Bald Bouldering > West Side Boulders > Cave Boulder",2.4,-1,Flash,,Boulder,,12,20370
2020-04-18,"The Campus Problem",V5-,,https://www.mountainproject.com/route/106968889/the-campus-problem,1,"North Carolina > 1. Southern Mountains Region > Rumbling Bald > Rumbling Bald Bouldering > West Side Boulders > Trailside Area > Trailside Boulder",2.7,-1,Send,,Boulder,,15,20470
2020-03-15,"Basketball Mantle",V3,,https://www.mountainproject.com/route/106924367/basketball-mantle,1,"North Carolina > 1. Southern Mountains Region > Rumbling Bald > Rumbling Bald Bouldering > West Side Boulders > Hull Area > Shady Grove",3.5,-1,,,Boulder,,,20300
2020-02-05,"Classic Overhang",V3,,https://www.mountainproject.com/route/108548398/classic-overhang,1,"North Carolina > 1. Southern Mountains Region > Rumbling Bald > Rumbling Bald Bouldering > West Side Boulders > Classic Overhang",3.8,-1,Send,,Boulder,,15,20300
2020-01-09,"Lightning Rod Arete",5.10c/d,,https://www.mountainproject.com/route/112216544/lightning-rod-arete,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > Velo Crag",3.6,4,Lead,Redpoint,Sport,5.10d,70,3400
2020-01-08,A1A,5.10a/b,,https://www.mountainproject.com/route/106817338/a1a,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Crossroads",2.7,-1,Lead,Onsight,Sport,,50,2800
2020-01-08,"Fairweather Friend",5.10c,,https://www.mountainproject.com/route/111124957/fairweather-friend,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Crossroads",3.5,3,Lead,Onsight,Sport,,80,3200
2020-01-08,Boilerplate,5.8,,https://www.mountainproject.com/route/106876099/boilerplate,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Crossroads",3.4,-1,Lead,Onsight,Sport,,50,2100
2020-01-08,Banjolero,5.10c,,https://www.mountainproject.com/route/107860456/banjolero,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Crossroads",3.2,-1,Lead,Fell/Hung,Sport,,65,3200
2019-12-13,"Something's Always Wrong",5.10d,,https://www.mountainproject.com/route/107301050/somethings-always-wrong,1,"Tennessee > Foster Falls > The Right Bunker",3.5,-1,Lead,Redpoint,Sport,,80,3500
2019-10-26,"Baby With A Nail Gun",5.10c,,https://www.mountainproject.com/route/106818549/baby-with-a-nail-gun,1,"West Virginia > The New River Gorge > Summersville (Gauley River) Area > Summersville Lake (main) > Orange Oswald Wall",3.1,-1,Lead,Fell/Hung,Sport,,80,3200
2019-10-26,"Chunko Goes Bowling",5.9+,,https://www.mountainproject.com/route/106002544/chunko-goes-bowling,1,"West Virginia > The New River Gorge > Summersville (Gauley River) Area > Summersville Lake (main) > Orange Oswald Wall",2.6,-1,Lead,Onsight,Sport,,80,2500
2019-10-26,"Orange Oswald",5.10a,,https://www.mountainproject.com/route/105918472/orange-oswald,1,"West Virginia > The New River Gorge > Summersville (Gauley River) Area > Summersville Lake (main) > Orange Oswald Wall",2.9,-1,Lead,Fell/Hung,Sport,,70,2600
2018-08-13,"Plate Tectonics",5.10a,,https://www.mountainproject.com/route/106065471/plate-tectonics,1,"Kentucky > Red River Gorge > Muir Valley > Tectonic Wall",3.3,-1,Lead,Flash,Sport,,70,2600
2018-08-13,"Gettin' Lucky in Kentucky",5.10b,,https://www.mountainproject.com/route/106065461/gettin-lucky-in-kentucky,1,"Kentucky > Red River Gorge > Muir Valley > Tectonic Wall",3.4,-1,Lead,Onsight,Sport,,60,2900
2018-08-13,Edge-a-Sketch,5.11a,,https://www.mountainproject.com/route/106657106/edge-a-sketch,1,"Kentucky > Red River Gorge > Muir Valley > The Great Wall",3.2,-1,Lead,Redpoint,Sport,,70,4600
2018-08-13,"Crazy Fingers",5.10c,,https://www.mountainproject.com/route/105886641/crazy-fingers,1,"Kentucky > Red River Gorge > Natural Bridge Region > Graining Fork Nature Preserve (a.k.a. Roadside Crag)",3.0,-1,Lead,Fell/Hung,Sport,,50,3200
2018-07-08,"27 Years of Climbing",5.8,,https://www.mountainproject.com/route/106125099/27-years-of-climbing,1,"Kentucky > Red River Gorge > Pendergrass-Murray Recreational Preserve (PMRP) > The Gallery",3.5,-1,Lead,Onsight,Sport,,65,2100
2018-07-07,Boltergeist,5.10a/b,,https://www.mountainproject.com/route/106580228/boltergeist,1,"Kentucky > Red River Gorge > Muir Valley > The Hideout",3.3,-1,Lead,Onsight,Sport,,95,2800
2018-07-07,"Bitter Ray of Sunshine",5.10b,,https://www.mountainproject.com/route/106451181/bitter-ray-of-sunshine,1,"Kentucky > Red River Gorge > Muir Valley > The Great Wall",2.9,-1,Lead,Onsight,Sport,,55,2900
2018-07-07,"You Can Tune a Piano, but You Can't Tuna Fish",5.10b,,https://www.mountainproject.com/route/106286289/you-can-tune-a-piano-but-you-cant-tuna-fish,1,"Kentucky > Red River Gorge > Natural Bridge Region > Graining Fork Nature Preserve (a.k.a. Roadside Crag)",2.5,-1,Lead,Onsight,Sport,,60,2900
2018-07-07,Kampsight,5.9+,,https://www.mountainproject.com/route/105882851/kampsight,1,"Kentucky > Red River Gorge > Natural Bridge Region > Graining Fork Nature Preserve (a.k.a. Roadside Crag)",2.7,-1,Lead,Onsight,Sport,,80,2500
2018-07-07,Edge-a-Sketch,5.11a,,https://www.mountainproject.com/route/106657106/edge-a-sketch,1,"Kentucky > Red River Gorge > Muir Valley > The Great Wall",3.2,-1,Lead,Fell/Hung,Sport,,70,4600
2018-05-14,"Fruit Loops",5.7+,,https://www.mountainproject.com/route/105898439/fruit-loops,2,"North Carolina > 1. Southern Mountains Region > Rumbling Bald > Cereal Buttress",3.5,-1,Lead,Flash,Trad,,160,1900
2017-10-11,"Caffeine Free",5.10b,,https://www.mountainproject.com/route/105803971/caffeine-free,1,"Oregon > Central Oregon > Smith Rock > (e) Western Ship - River Face",2.8,-1,Lead,Onsight,Sport,,80,2900
2017-10-11,"Phone Call From Satan",5.9,,https://www.mountainproject.com/route/105803921/phone-call-from-satan,1,"Oregon > Central Oregon > Smith Rock > (e) Western Ship - River Face",3.0,-1,Lead,Onsight,Sport,,95,2400
2017-10-05,"Slip n' Slide",5.8,,https://www.mountainproject.com/route/112339809/slip-n-slide,1,"Wyoming > Lander Area > Sinks Canyon > The Recess Wall",2.0,-1,TR,,Sport,,45,2100
2017-10-05,"Hop Scotch",5.10b,,https://www.mountainproject.com/route/112339825/hop-scotch,1,"Wyoming > Lander Area > Sinks Canyon > The Recess Wall",3.0,-1,Lead,Fell/Hung,Sport,,45,2900
2017-10-05,"Go West, Young Man",5.7,,https://www.mountainproject.com/route/105829080/go-west-young-man,1,"Wyoming > Lander Area > Sinks Canyon > Addiction",2.8,-1,Lead,Onsight,Sport,,45,1800
2017-10-05,"A Beautiful Life",5.9,,https://www.mountainproject.com/route/105829088/a-beautiful-life,1,"Wyoming > Lander Area > Sinks Canyon > Addiction",1.9,-1,Lead,Onsight,Sport,,40,2400
